1   0
2   13
3   43
4   48
5   49
6   69
7   81
8   85
9   114
10  114
11  120
12  131
13  148
14  153
15  153
16  160
17  164
18  169
19  192
20  193
21  193
22  197
23  209
24  218
25  227
26  249
27  252
28  264
29  268
30  273
31  289
32  289
33  297
34  307
35  324
36  339
37  359
38  363
39  375
40  383
41  405
42  410
43  484
44  548
45  600
46  612
47  645
48  790
49  976
50  1002
51  1095
52  1162
